Team,Player,Position,Overall,PAC,SHO,PAS,DRI,DEF,PHY,Rating_Source
Algeria,Oussama Benbot,GK,76,68,12,50,52,15,76,Estimated
Algeria,Melvin Masstil,GK,72,60,10,44,46,12,72,Estimated
Algeria,Luca Zidane,GK,68,55,10,40,42,10,68,Estimated
Algeria,Achraf Abada,DEF,72,74,44,62,68,72,68,Estimated
Algeria,Rayan Ait Nouri,DEF,82,84,52,72,78,78,78,Official
Algeria,Zinedine Belaid,DEF,70,66,35,55,60,70,70,Estimated
Algeria,Rafik Belghali,DEF,68,64,32,52,58,68,68,Estimated
Algeria,Ramy Bensebaini,DEF,82,76,54,72,76,80,80,Official
Algeria,Samir Chergui,DEF,69,68,36,54,60,68,72,Estimated
Algeria,Jaouen Hadjam,DEF,71,74,40,60,66,70,70,Estimated
Algeria,Aissa Mandi,DEF,78,64,45,68,72,78,76,Official
Algeria,Mohamed Amine Tougai,DEF,68,66,34,52,58,68,70,Estimated
Algeria,Houssem Aouar,MID,79,76,72,78,82,52,68,Official
Algeria,Nabil Bentaleb,MID,76,65,68,76,78,72,74,Official
Algeria,Hicham Boudaoui,MID,74,74,62,70,74,62,72,Official
Algeria,Fares Chaibi,MID,74,76,66,72,76,54,68,Estimated
Algeria,Ibrahim Maza,MID,72,78,64,70,74,52,64,Estimated
Algeria,Yassine Titraoui,MID,69,72,58,64,68,52,62,Estimated
Algeria,Ramiz Zerrouki,MID,75,70,62,72,72,70,74,Official
Algeria,Mohamed Amine Amoura,FWD,80,88,74,72,82,42,72,Official
Algeria,Nadir Benbouali,FWD,73,82,68,64,74,36,66,Estimated
Algeria,Adil Boulbina,FWD,68,80,60,60,68,32,62,Estimated
Algeria,Fares Ghedjemis,FWD,72,84,66,62,72,36,66,Estimated
Algeria,Amine Gouiri,FWD,78,82,74,72,80,38,70,Official
Algeria,Riyad Mahrez,FWD,84,82,82,84,88,38,68,Official
Algeria,Anis Hadj Moussa,FWD,74,84,68,66,76,38,66,Estimated
Argentina,Emiliano Martinez,GK,89,90,83,70,90,52,87,Official
Argentina,Geronimo Rulli,GK,79,76,58,58,72,18,76,Official
Argentina,Juan Musso,GK,83,82,68,62,80,22,80,Official
Argentina,Leonardo Balerdi,DEF,80,76,48,68,74,80,78,Official
Argentina,Gonzalo Montiel,DEF,79,82,58,72,76,78,76,Official
Argentina,Nicolas Tagliafico,DEF,80,80,55,74,76,80,76,Official
Argentina,Lisandro Martinez,DEF,86,74,52,72,78,88,84,Official
Argentina,Cristian Romero,DEF,87,82,56,72,78,88,86,Official
Argentina,Nicolas Otamendi,DEF,82,62,48,68,70,84,82,Official
Argentina,Facundo Medina,DEF,77,72,44,62,68,78,76,Official
Argentina,Nahuel Molina,DEF,81,86,60,74,78,78,78,Official
Argentina,Leandro Paredes,MID,81,62,72,82,80,72,72,Official
Argentina,Rodrigo De Paul,MID,84,82,76,84,84,70,80,Official
Argentina,Valentin Barco,MID,75,82,60,72,76,62,68,Estimated
Argentina,Giovani Lo Celso,MID,82,76,74,82,84,64,72,Official
Argentina,Exequiel Palacios,MID,80,76,72,78,80,68,74,Official
Argentina,Alexis Mac Allister,MID,87,76,78,86,86,78,80,Official
Argentina,Enzo Fernandez,MID,86,76,76,86,86,72,78,Official
Argentina,Julian Alvarez,FWD,87,88,86,80,86,54,78,Official
Argentina,Lionel Messi,FWD,86,72,84,90,92,38,62,Official
Argentina,Nicolas Gonzalez,FWD,79,86,76,72,78,44,72,Official
Argentina,Thiago Almada,FWD,78,84,72,74,80,42,66,Estimated
Argentina,Giuliano Simeone,FWD,75,86,68,66,74,38,68,Estimated
Argentina,Nicolas Paz,MID,74,74,68,74,76,58,66,Estimated
Argentina,Jose Manuel Lopez,FWD,70,82,62,60,70,36,64,Estimated
Argentina,Lautaro Martinez,FWD,88,82,88,78,86,44,80,Official
Australia,Mathew Ryan,GK,80,74,58,64,74,12,76,Official
Australia,Paul Izzo,GK,72,66,48,52,62,10,68,Estimated
Australia,Patrick Beach,GK,68,60,44,46,56,8,64,Estimated
Australia,Aziz Behich,DEF,73,76,48,68,72,72,70,Official
Australia,Jordan Bos,DEF,70,74,44,62,66,70,68,Estimated
Australia,Cameron Burgess,DEF,72,62,40,56,60,74,74,Official
Australia,Alessandro Circati,DEF,70,66,38,54,58,72,72,Estimated
Australia,Milos Degenek,DEF,73,68,42,60,64,74,74,Official
Australia,Jason Geria,DEF,68,74,42,58,62,66,66,Estimated
Australia,Lucas Herrington,DEF,67,70,40,56,60,66,66,Estimated
Australia,Jacob Italiano,DEF,68,66,38,52,56,68,68,Estimated
Australia,Harry Souttar,DEF,76,68,48,60,64,78,78,Official
