date,team,elo_rating
2018-01-01,France,1985.0
2018-01-01,Germany,2000.0
2018-01-01,Brazil,2078.0
2018-01-01,Argentina,1978.0
2018-01-01,Spain,2048.0
2018-01-01,Belgium,1899.0
2018-01-01,Portugal,1969.0
2018-01-01,England,1935.0
2018-01-01,Colombia,1882.0
2018-01-01,Netherlands,1883.0
2018-01-01,Croatia,1848.0
2018-01-01,Uruguay,1862.0
2018-01-01,Switzerland,1873.0
2018-01-01,Mexico,1838.0
2018-01-01,Japan,1771.0
2018-01-01,Denmark,1813.0
2018-01-01,Sweden,1759.0
2018-01-01,Australia,1740.0
2018-01-01,South Korea,1750.0
2018-01-01,Iran,1756.0
2018-01-01,Morocco,1706.0
2018-01-01,Senegal,1735.0
2018-01-01,Ecuador,1718.0
2018-01-01,Tunisia,1696.0
2018-01-01,Egypt,1686.0
2018-01-01,Algeria,1720.0
2018-01-01,Norway,1742.0
2018-01-01,Turkey,1795.0
2018-01-01,Austria,1720.0
2018-01-01,United States,1756.0
2018-01-01,Canada,1620.0
2018-01-01,Panama,1622.0
2018-01-01,Paraguay,1700.0
2018-01-01,Czech Republic,1726.0
2018-01-01,Scotland,1624.0
2018-01-01,Ivory Coast,1680.0
2018-01-01,Ghana,1673.0
2018-01-01,Uzbekistan,1490.0
2018-01-01,Qatar,1590.0
2018-01-01,Iraq,1618.0
2018-01-01,South Africa,1585.0
2018-01-01,Saudi Arabia,1604.0
2018-01-01,Jordan,1536.0
2018-01-01,Cape Verde,1540.0
2018-01-01,Bosnia and Herzegovina,1680.0
2018-01-01,DR Congo,1622.0
2018-01-01,Curaçao,1490.0
2018-01-01,Haiti,1530.0
2018-01-01,New Zealand,1440.0
2018-01-28,United States,1751.3
2018-01-28,Bosnia and Herzegovina,1684.7
2018-01-31,Mexico,1843.9
2018-01-31,Bosnia and Herzegovina,1678.8
2018-02-28,Iraq,1630.0
2018-02-28,Saudi Arabia,1592.0
2018-03-21,Iraq,1616.1
2018-03-21,Qatar,1603.8
2018-03-23,Uruguay,1871.4
2018-03-23,Czech Republic,1716.6
2018-03-23,Tunisia,1704.9
2018-03-23,Iran,1747.1
2018-03-23,Portugal,1972.3
2018-03-23,Egypt,1682.7
2018-03-23,Senegal,1728.9
2018-03-23,Uzbekistan,1496.1
2018-03-23,Netherlands,1871.6
2018-03-23,England,1946.4
2018-03-23,Germany,1998.5
2018-03-23,Spain,2049.5
2018-03-23,France,1969.7
2018-03-23,Colombia,1897.3
2018-03-23,Norway,1754.5
2018-03-23,Australia,1727.5
2018-03-24,Canada,1625.2
2018-03-24,New Zealand,1434.8
2018-03-26,Portugal,1949.8
2018-03-26,Netherlands,1894.1
2018-03-27,Morocco,1710.3
2018-03-27,Uzbekistan,1491.8
2018-03-27,United States,1757.2
2018-03-27,Paraguay,1694.1
2018-03-27,Switzerland,1878.0
2018-03-27,Panama,1617.0
2018-03-27,Spain,2060.3
2018-03-27,Argentina,1967.1
2018-03-27,Mexico,1834.0
2018-03-27,Croatia,1857.9
2018-03-27,Algeria,1710.8
2018-03-27,Iran,1756.4
2018-03-27,Bosnia and Herzegovina,1680.3
2018-03-27,Senegal,1727.5
2018-03-27,Belgium,1902.3
2018-03-27,Saudi Arabia,1588.8
2018-03-27,Australia,1732.0
2018-03-27,Colombia,1892.7
2018-03-27,Germany,1987.9
2018-03-27,Brazil,2088.6
2018-05-09,Algeria,1690.7
2018-05-09,Saudi Arabia,1608.8
2018-05-19,Iran,1758.6
2018-05-19,Uzbekistan,1489.6
2018-05-28,Turkey,1801.3
2018-05-28,Iran,1752.3
2018-05-28,Portugal,1942.3
2018-05-28,Tunisia,1712.4
2018-05-29,Argentina,1968.8
2018-05-29,Haiti,1528.4
2018-05-30,Japan,1748.3
2018-05-30,Ghana,1695.7
2018-06-01,Turkey,1798.8
2018-06-01,Tunisia,1714.9
2018-06-01,South Korea,1728.2
2018-06-01,Bosnia and Herzegovina,1702.0
2018-06-01,Czech Republic,1698.7
2018-06-01,Australia,1749.9
2018-06-01,Algeria,1674.5
2018-06-01,Cape Verde,1556.2
2018-06-01,Colombia,1887.3
2018-06-01,Egypt,1688.1
2018-06-02,Mexico,1836.8
2018-06-02,Scotland,1621.1
2018-06-02,Belgium,1900.6
2018-06-02,Portugal,1944.0
2018-06-02,Austria,1734.5
2018-06-02,Germany,1973.4
2018-06-03,Spain,2053.6
2018-06-03,Switzerland,1884.7
2018-06-03,Croatia,1851.6
2018-06-03,Brazil,2094.9
2018-06-06,Norway,1758.6
2018-06-06,Panama,1613.0
2018-06-06,Belgium,1905.5
2018-06-06,Egypt,1683.2
2018-06-07,Uruguay,1873.5
2018-06-07,Uzbekistan,1487.5
2018-06-07,Portugal,1947.7
2018-06-07,Algeria,1670.8
2018-06-08,Switzerland,1890.8
2018-06-08,Japan,1742.1
2018-06-08,Germany,1974.7
2018-06-08,Saudi Arabia,1607.5
2018-06-08,Croatia,1855.9
2018-06-08,Senegal,1723.2
2018-06-09,Tunisia,1712.5
2018-06-09,Spain,2056.1
2018-06-09,France,1962.6
2018-06-09,United States,1764.4
2018-06-10,Austria,1728.1
2018-06-10,Brazil,2101.3
2018-06-11,South Korea,1713.0
2018-06-11,Senegal,1738.4
2018-06-12,Japan,1755.1
2018-06-12,Paraguay,1681.2
2018-06-15,Egypt,1668.1
2018-06-15,Uruguay,1888.5
2018-06-15,Morocco,1683.9
2018-06-15,Iran,1778.7
2018-06-15,Portugal,1956.8
2018-06-15,Spain,2047.1
2018-06-16,France,1976.2
2018-06-16,Australia,1736.3
2018-06-17,Brazil,2085.0
2018-06-17,Switzerland,1907.0
2018-06-17,Germany,1933.4
2018-06-17,Mexico,1878.2
2018-06-18,Tunisia,1700.1
2018-06-18,England,1958.8
2018-06-18,Belgium,1922.0
2018-06-18,Panama,1596.5
2018-06-18,Sweden,1785.0
2018-06-18,South Korea,1686.9
2018-06-19,Colombia,1846.4
2018-06-19,Japan,1796.0
2018-06-20,Portugal,1967.1
2018-06-20,Morocco,1673.6
2018-06-20,Uruguay,1898.4
2018-06-20,Saudi Arabia,1597.6
2018-06-20,Iran,1768.1
2018-06-20,Spain,2057.6
2018-06-21,Argentina,1899.8
2018-06-21,Croatia,1924.9
2018-06-23,Belgium,1944.9
2018-06-23,Tunisia,1677.2
2018-06-23,South Korea,1672.0
2018-06-23,Mexico,1893.1
2018-06-23,Germany,1951.3
2018-06-23,Sweden,1767.1
2018-06-24,England,1972.0
2018-06-24,Panama,1583.3
2018-06-24,Japan,1791.1
2018-06-24,Senegal,1743.3
2018-06-25,Saudi Arabia,1633.6
2018-06-25,Egypt,1632.1
2018-06-25,Spain,2033.5
2018-06-25,Morocco,1697.7
2018-06-25,Iran,1783.7
2018-06-25,Portugal,1951.6
2018-06-27,Mexico,1822.4
2018-06-27,Sweden,1837.9
2018-06-27,South Korea,1746.9
2018-06-27,Germany,1876.3
2018-06-28,Senegal,1722.0
2018-06-28,Colombia,1867.8
2018-06-28,Panama,1561.2
2018-06-28,Tunisia,1699.3
2018-06-28,England,1939.7
2018-06-28,Belgium,1977.2
2018-06-30,France,1999.7
2018-06-30,Argentina,1876.3
2018-06-30,Uruguay,1933.0
2018-06-30,Portugal,1917.0
2018-07-02,Brazil,2101.3
2018-07-02,Mexico,1806.1
2018-07-02,Belgium,1992.5
2018-07-02,Japan,1775.8
2018-07-03,Sweden,1873.8
2018-07-03,Switzerland,1871.1
2018-07-03,Colombia,1873.9
2018-07-03,England,1933.6
2018-07-06,Uruguay,1896.5
2018-07-06,France,2036.2
2018-07-06,Brazil,2062.2
2018-07-06,Belgium,2031.6
2018-07-07,Sweden,1836.4
2018-07-07,England,1970.9
2018-07-10,France,2065.8
2018-07-10,Belgium,2002.0
2018-07-11,Croatia,1958.8
2018-07-11,England,1936.9
2018-07-14,Belgium,2038.7
2018-07-14,England,1900.3
2018-07-15,France,2097.4
2018-07-15,Croatia,1927.3
2018-09-06,Germany,1884.7
2018-09-06,France,2089.0
2018-09-06,Austria,1743.5
2018-09-06,Sweden,1821.1
2018-09-06,Portugal,1914.5
2018-09-06,Croatia,1929.8
2018-09-07,Mexico,1793.1
2018-09-07,Uruguay,1909.6
2018-09-07,Scotland,1615.9
2018-09-07,Belgium,2043.9
2018-09-07,United States,1757.1
2018-09-07,Brazil,2069.5
2018-09-08,England,1877.7
2018-09-08,Spain,2056.1
2018-09-09,France,2096.7
2018-09-09,Netherlands,1886.3
2018-09-10,Sweden,1787.6
2018-09-10,Turkey,1832.2
2018-09-11,Uzbekistan,1482.6
2018-09-11,Iran,1788.5
2018-09-11,United States,1765.3
2018-09-11,Mexico,1784.9
2018-09-11,England,1884.7
2018-09-11,Switzerland,1864.1
2018-09-11,Bosnia and Herzegovina,1722.9
2018-09-11,Austria,1722.6
2018-09-11,Spain,2078.8
2018-09-11,Croatia,1907.1
2018-09-11,Colombia,1874.0
2018-09-11,Argentina,1876.2
2018-10-11,Argentina,1883.1
2018-10-11,Iraq,1609.3
2018-10-11,Turkey,1826.8
