team,overall,attack,midfield,defense,source,ea_fc26_licensed
France,85,87,82,85,official,yes
Spain,85,82,86,83,official,yes
England,84,84,84,80,official,yes
Portugal,84,85,83,83,official,yes
Germany,83,79,82,84,official,yes
Italy,83,83,83,83,official,yes
Netherlands,83,82,85,83,official,yes
Argentina,83,84,85,80,official,yes
Morocco,79,81,77,80,official,yes
Croatia,79,78,79,78,official,yes
Denmark,78,77,78,77,official,yes
Norway,78,82,78,75,official,yes
Sweden,78,87,78,77,official,yes
Poland,77,83,75,76,official,yes
Ukraine,77,77,75,76,official,yes
Mexico,77,78,76,76,official,yes
United States,76,76,75,75,official,yes
Brazil,83,85,82,80,estimated,no
Belgium,82,81,84,80,estimated,no
Colombia,80,82,80,77,estimated,no
Uruguay,79,80,78,79,estimated,no
Switzerland,79,78,80,79,estimated,no
Japan,78,77,79,77,estimated,no
Austria,78,77,78,77,estimated,no
Ecuador,77,78,75,77,estimated,no
South Korea,77,78,76,76,estimated,no
Turkey,77,77,76,76,estimated,no
Senegal,76,76,75,76,estimated,no
Czech Republic,75,74,75,75,estimated,no
Ivory Coast,75,77,74,73,estimated,no
Algeria,75,77,74,73,estimated,no
Canada,75,75,74,74,estimated,no
Egypt,74,75,73,73,estimated,no
Scotland,74,73,74,74,estimated,no
Australia,73,72,72,73,estimated,no
Bosnia and Herzegovina,72,72,71,71,estimated,no
Tunisia,72,72,71,72,estimated,no
Ghana,72,73,71,70,estimated,no
Iran,72,71,71,72,estimated,no
Paraguay,72,72,71,72,estimated,no
DR Congo,70,72,69,68,estimated,no
Saudi Arabia,70,71,69,69,estimated,no
Uzbekistan,70,70,69,70,estimated,no
Cape Verde,68,69,67,67,estimated,no
Qatar,67,66,66,67,estimated,no
Panama,67,66,66,68,estimated,no
Iraq,67,67,66,67,estimated,no
South Africa,67,66,66,67,estimated,no
Jordan,65,65,64,65,estimated,no
Curaçao,64,64,63,63,estimated,no
New Zealand,63,62,62,63,estimated,no
Haiti,62,62,61,62,estimated,no
