team,overall,attack,midfield,defense,source,ea_fc26_licensed
Brazil,85.24,85.72,84.39,84.78,mixed,partial
France,84.99,86.44,82.82,84.39,mixed,partial
Spain,84.31,84.06,85.96,81.55,mixed,partial
Argentina,84.24,84.97,83.57,83.76,mixed,partial
England,84.06,85.32,85.54,81.18,mixed,partial
Germany,83.78,84.42,84.51,82.18,mixed,partial
Portugal,83.74,82.45,86.12,82.24,mixed,partial
Netherlands,83.2,80.93,83.63,84.01,mixed,partial
Belgium,82.71,82.46,84.06,79.53,mixed,partial
Uruguay,82.26,82.38,83.75,80.54,mixed,partial
Norway,82.05,84.71,81.34,77.67,mixed,partial
Egypt,80.93,86.04,70.5,73.27,mixed,partial
Croatia,80.81,78.83,81.31,81.29,mixed,partial
Turkey,80.6,73.08,82.57,79.88,mixed,partial
Morocco,80.56,78.97,78.23,82.18,mixed,partial
South Korea,80.06,83.51,76.56,79.68,mixed,partial
Sweden,79.87,84.25,74.43,75.32,mixed,partial
Colombia,79.68,82.37,79.35,78.43,mixed,partial
Ecuador,79.42,73.4,81.21,78.83,mixed,partial
Senegal,79.32,80.15,76.69,79.3,mixed,partial
USA,79.17,80.82,79.96,77.06,mixed,partial
Switzerland,79.03,79.12,77.93,79.65,mixed,partial
Austria,78.91,78.39,79.48,78.32,mixed,partial
Canada,78.82,80.96,76.66,78.52,mixed,partial
Ivory Coast,78.81,77.58,80.29,78.73,mixed,partial
Mexico,77.71,79.23,77.3,75.4,mixed,partial
Algeria,77.52,79.27,75.35,77.16,mixed,partial
Scotland,77.5,73.76,79.29,77.16,mixed,partial
Czechia,77.44,79.31,76.67,75.92,mixed,partial
Japan,76.86,73.58,78.41,76.46,mixed,partial
Ghana,75.83,76.81,77.55,73.19,mixed,partial
Saudi Arabia,75.74,75.38,76.06,74.85,mixed,partial
Iran,75.74,78.83,74.88,72.88,mixed,partial
Paraguay,74.7,74.93,75.23,74.05,mixed,partial
DR Congo,74.39,76.91,71.1,74.48,mixed,partial
Bosnia-Herzegovina,74.3,76.85,72.57,73.55,mixed,partial
Australia,73.3,73.31,72.57,72.76,mixed,partial
Tunisia,72.99,70.78,75.39,71.78,mixed,partial
Qatar,72.65,75.52,71.59,70.64,mixed,partial
Uzbekistan,72.62,72.67,74.08,70.68,mixed,partial
Curacao,72.41,71.93,73.24,72.24,mixed,partial
Cape Verde,71.83,71.91,72.04,71.65,mixed,partial
New Zealand,71.79,75.19,70.01,71.34,mixed,partial
South Africa,71.74,72.79,72.69,69.92,mixed,partial
Panama,71.68,71.04,71.68,72.16,mixed,partial
Jordan,70.24,72.37,69.09,67.57,mixed,partial
Iraq,70.2,71.16,69.09,70.18,mixed,partial
Haiti,69.56,70.06,68.5,69.54,mixed,partial
