team,total_market_value_euros_millions
England,1300
France,1280
Spain,920
Portugal,850
Germany,850
Brazil,1000
Netherlands,720
Belgium,600
Argentina,570
Turkey,460
Colombia,380
Croatia,340
Norway,320
Morocco,310
Japan,290
Switzerland,280
Uruguay,270
Senegal,260
United States,250
Mexico,230
Ecuador,220
South Korea,210
Canada,200
Austria,195
Australia,120
Algeria,160
Ivory Coast,145
Sweden,140
Scotland,135
Ghana,130
Egypt,115
Paraguay,100
Czech Republic,95
Tunisia,80
Iran,75
Bosnia and Herzegovina,70
DR Congo,65
Panama,55
Saudi Arabia,55
Uzbekistan,40
South Africa,35
Cape Verde,30
Jordan,20
Qatar,18
Iraq,15
Curaçao,12
Haiti,10
New Zealand,9
