team,type,group,world_ranking,participations,elo_rating,elo_rank_wc
France,Qualified,I,1,16,1877.32,1
Spain,Qualified,H,2,16,1876.4,2
Argentina,Qualified,J,3,18,1874.81,3
England,Qualified,L,4,16,1825.97,4
Portugal,Qualified,K,5,8,1763.83,5
Brazil,Qualified,C,6,22,1761.16,6
Netherlands,Qualified,F,7,10,1757.87,7
Morocco,Qualified,C,8,6,1756.21,8
Belgium,Qualified,G,9,13,1734.71,9
Germany,Qualified,E,10,20,1731.3,10
Croatia,Qualified,L,11,6,1717.07,11
Colombia,Qualified,K,13,6,1693.09,12
Senegal,Qualified,I,14,3,1686.41,13
Mexico,Host,A,15,17,1684.13,14
United States,Host,D,16,11,1675.7,15
Uruguay,Qualified,H,17,14,1673.07,16
Japan,Qualified,F,18,7,1661.58,17
Switzerland,Qualified,B,19,12,1650.75,18
Iran,Qualified,G,21,6,1616.04,19
Turkey,Qualified,D,22,2,1599.04,20
Ecuador,Qualified,E,23,4,1596.48,21
Austria,Qualified,J,24,7,1593.45,22
South Korea,Qualified,A,25,10,1589.65,23
Australia,Qualified,D,27,6,1578.66,24
Egypt,Qualified,G,29,3,1565.56,25
Algeria,Qualified,J,28,4,1564.26,26
Canada,Host,B,30,2,1556.48,27
Norway,Qualified,I,31,3,1550.94,28
Panama,Qualified,L,33,1,1540.64,29
Ivory Coast,Qualified,E,34,3,1532.98,30
Sweden,Qualified,F,38,12,1514.77,31
Paraguay,Qualified,D,40,8,1503.5,32
Czech Republic,Qualified,A,41,9,1503.04,33
Scotland,Qualified,C,43,7,1499.92,34
Tunisia,Qualified,F,44,6,1483.05,35
DR Congo,Qualified,K,46,1,1478.35,36
Uzbekistan,Qualified,K,50,0,1465.34,37
Qatar,Qualified,B,55,1,1454.0,38
Iraq,Qualified,I,57,1,1447.0,39
South Africa,Qualified,A,60,3,1429.0,40
Saudi Arabia,Qualified,H,61,6,1421.0,41
Jordan,Qualified,J,63,0,1391.0,42
Bosnia and Herzegovina,Qualified,B,65,1,1385.0,43
Cape Verde,Qualified,H,69,0,1366.0,44
Ghana,Qualified,L,74,4,1346.0,45
Curaçao,Qualified,E,82,0,1294.0,46
Haiti,Qualified,C,83,1,1291.0,47
New Zealand,Qualified,G,85,2,1281.0,48
