date,home_team,away_team,neutral,tournament,t_weight,elo_home,elo_away,elo_diff,elo_win_prob_h,elo_win_prob_a,diff_pts5,diff_pts10,diff_wpts5,diff_gf5,diff_ga5,h2h_wwin_rate_a,h2h_wwin_rate_b,h2h_wdraw_rate,h2h_gf_a,h2h_ga_a,h2h_n_matches,h_world_ranking,h_participations,h_elo_rating,h_elo_rank_wc,h_ea_overall,h_ea_attack,h_ea_midfield,h_ea_defense,h_ea_atk_def_ratio,h_ea_balance,h_squad_value_m,h_log_squad_value,h_rank_score,h_wc_exp,a_world_ranking,a_participations,a_elo_rating,a_elo_rank_wc,a_ea_overall,a_ea_attack,a_ea_midfield,a_ea_defense,a_ea_atk_def_ratio,a_ea_balance,a_squad_value_m,a_log_squad_value,a_rank_score,a_wc_exp,diff_ea_overall,diff_ea_attack,diff_ea_midfield,diff_ea_defense,diff_squad_value_m,diff_rank_score,diff_wc_exp,a_gf5,a_ga5,a_pts5,a_wpts5,a_gf10,a_ga10,a_pts10,a_wpts10,h_gf5,h_ga5,h_pts5,h_wpts5,h_gf10,h_ga10,h_pts10,h_wpts10,outcome,home_goals,away_goals,goal_diff,total_goals
2018-01-28,United States,Bosnia and Herzegovina,False,Friendly,0.3,1756.0,1680.0,76.0,0.7336337024138074,0.26636629758619257,0.0,0.0,0.0,0.0,0.0,0.5270686807998297,0.44843667890900374,0.24871297974566842,0.7624799976717979,0.0,2,16,11,1675.7,15,,,,,,,250,5.5254529391317835,0.0625,2.4849066497880004,65,1,1385.0,43,,,,,,,70,4.2626798770413155,0.015384615384615385,0.6931471805599453,,,,,180,0.047115384615384615,1.791759469228055,,,,,,,,,,,,,,,,,D,0,0,0,0
2018-01-31,Mexico,Bosnia and Herzegovina,True,Friendly,0.3,1838.0,1684.7,153.29999999999995,0.7073329216572214,0.2926670783427786,,,,,,0.5133244592555753,0.4866755407444246,0.2433377703722123,1.0,0.0,1,15,17,1684.13,14,77.71,79.23,77.3,75.4,1.0507957559681698,1.9150195821453098,230,5.442417710521793,0.06666666666666667,2.8903717578961645,65,1,1385.0,43,,,,,,,70,4.2626798770413155,0.015384615384615385,0.6931471805599453,,,,,160,0.05128205128205128,2.197224577336219,,,,,,,,,,,,,,,,,H,1,0,1,1
2018-02-28,Iraq,Saudi Arabia,False,Friendly,0.3,1618.0,1604.0,14.0,0.6584145209169125,0.34158547908308745,0.0,0.0,0.0,0.0,0.0,0.3869935561553704,0.42815157283261523,0.33404386541561293,0.8942963805296045,1.0569711603749496,5,57,1,1447.0,39,70.2,71.16,69.09,70.18,1.013964092333998,1.0354870029765348,15,2.772588722239781,0.017543859649122806,0.6931471805599453,61,6,1421.0,41,75.74,75.38,76.06,74.85,1.0070808283233132,0.6065476073648342,55,4.02535169073515,0.01639344262295082,1.9459101490553132,-5.539999999999992,-4.219999999999999,-6.969999999999999,-4.6699999999999875,-40,0.0011504170261719855,-1.252762968495368,,,,,,,,,,,,,,,,,H,4,1,3,5
2018-03-21,Iraq,Qatar,False,Friendly,0.3,1630.0,1590.0,40.0,0.691236152414763,0.308763847585237,,,,,,0.45418658522561883,0.4430318744394863,0.272657315036854,0.8349711713472883,1.168283251010976,6,57,1,1447.0,39,70.2,71.16,69.09,70.18,1.013964092333998,1.0354870029765348,15,2.772588722239781,0.017543859649122806,0.6931471805599453,55,1,1454.0,38,72.65,75.52,71.59,70.64,1.0690826727066818,2.587205699849418,18,2.9444389791664403,0.01818181818181818,0.6931471805599453,-2.450000000000003,-4.359999999999999,-2.5,-0.45999999999999375,-3,-0.0006379585326953749,0.0,,,,,,,,,,,,,,,,,A,2,3,-1,5
2018-03-23,Uruguay,Czech Republic,True,Friendly,0.3,1862.0,1726.0,136.0,0.6863002576833125,0.3136997423166875,0.0,0.0,0.0,0.0,0.0,0.5138786424543811,0.48612135754561897,0.24306067877280949,2.0,0.0,1,17,14,1673.07,16,82.26,82.38,83.75,80.54,1.0228457909113482,1.6107244746800498,270,5.602118820879701,0.058823529411764705,2.70805020110221,41,9,1503.04,33,,,,,,,95,4.564348191467836,0.024390243902439025,2.302585092994046,,,,,175,0.03443328550932568,0.40546510810816416,,,,,,,,,,,,,,,,,H,2,0,2,2
2018-03-23,Tunisia,Iran,False,Friendly,0.3,1696.0,1756.0,-60.0,0.5573116337622928,0.44268836623770724,0.0,0.0,0.0,0.0,0.0,0.5628617325619895,0.43713826743801043,0.21856913371900522,1.8014660581748194,0.0,2,44,6,1483.05,35,72.99,70.78,75.39,71.78,0.9860685427695737,2.42501546386822,80,4.394449154672439,0.022727272727272728,1.9459101490553132,21,6,1616.04,19,75.74,78.83,74.88,72.88,1.0816410537870473,3.0277879714405382,75,4.330733340286331,0.047619047619047616,1.9459101490553132,-2.75,-8.049999999999997,0.5100000000000051,-1.0999999999999943,5,-0.02489177489177489,0.0,,,,,,,,,,,,,,,,,H,1,0,1,1
2018-03-23,Portugal,Egypt,True,Friendly,0.3,1969.0,1686.0,283.0,0.836043425542047,0.16395657445795297,0.0,0.0,0.0,0.0,0.0,0.5138786424543811,0.48612135754561897,0.24306067877280949,2.0,1.0,1,5,8,1763.83,5,83.74,82.45,86.12,82.24,1.0025535019455254,2.182025053323941,850,6.7464121285733745,0.2,2.1972245773362196,29,3,1565.56,25,80.93,86.04,70.5,73.27,1.174286884127201,8.288922326414538,115,4.7535901911063645,0.034482758620689655,1.3862943611198906,2.809999999999988,-3.5900000000000034,15.620000000000005,8.969999999999999,735,0.16551724137931034,0.810930216216329,,,,,,,,,,,,,,,,,H,2,1,1,3
2018-03-23,Senegal,Uzbekistan,True,Friendly,0.3,1735.0,1490.0,245.0,0.8038185194246843,0.1961814805753157,0.0,0.0,0.0,0.0,0.0,0.48612135754561897,0.48612135754561897,0.2708179636815716,1.0,1.0,1,14,3,1686.41,13,79.32,80.15,76.69,79.3,1.0107187894073142,1.8030622100563654,260,5.564520407322694,0.07142857142857142,1.3862943611198906,50,0,1465.34,37,72.62,72.67,74.08,70.68,1.02815506508206,1.7082251998297293,40,3.713572066704308,0.02,0.0,6.699999999999989,7.480000000000004,2.6099999999999994,8.61999999999999,220,0.05142857142857142,1.3862943611198906,,,,,,,,,,,,,,,,,D,1,1,0,2
2018-03-23,Netherlands,England,False,Friendly,0.3,1883.0,1935.0,-52.0,0.5686413918836677,0.4313586081163323,0.0,0.0,0.0,0.0,0.0,0.4298604071648821,0.5701395928351178,0.19864953434886284,1.2066052346699911,1.7310301149373322,3,7,10,1757.87,7,83.2,80.93,83.63,84.01,0.963337697893108,1.6793252613276926,720,6.580639137284949,0.14285714285714285,2.3978952727983707,4,16,1825.97,4,84.06,85.32,85.54,81.18,1.0509977827050996,2.456203031781639,1300,7.170888478512505,0.25,2.833213344056216,-0.8599999999999994,-4.389999999999986,-1.9100000000000108,2.8299999999999983,-580,-0.10714285714285715,-0.4353180712578455,,,,,,,,,,,,,,,,,A,0,1,-1,1
2018-03-23,Germany,Spain,False,Friendly,0.3,2000.0,2048.0,-48.0,0.5742802036545245,0.4257197963454755,0.0,0.0,0.0,0.0,0.0,0.34342522268262676,0.5161855759343266,0.31210181272435994,0.8610938684703567,2.1073109350397194,5,10,20,1731.3,10,83.78,84.42,84.51,82.18,1.0272572402044293,1.3200126262022376,850,6.7464121285733745,0.1,3.044522437723423,2,16,1876.4,2,84.31,84.06,85.96,81.55,1.030778663396689,2.2120201927951126,920,6.825460036255307,0.5,2.833213344056216,-0.5300000000000011,0.35999999999999943,-1.4499999999999886,0.6300000000000097,-70,-0.4,0.21130909366720685,,,,,,,,,,,,,,,,,D,1,1,0,2
2018-03-23,France,Colombia,False,Friendly,0.3,1985.0,1882.0,103.0,0.7628849803052542,0.2371150196947458,0.0,0.0,0.0,0.0,0.0,0.6069716866905611,0.393028313309439,0.1858993947552611,2.917202327037859,1.1655953459242818,2,1,16,1877.32,1,84.99,86.44,82.82,84.39,1.024291977722479,1.815296119094625,1280,7.155396301896734,1.0,2.833213344056216,13,6,1693.09,12,79.68,82.37,79.35,78.43,1.0502358791278847,2.0611647192788847,380,5.942799375126701,0.07692307692307693,1.9459101490553132,5.309999999999988,4.069999999999993,3.469999999999999,5.959999999999994,900,0.9230769230769231,0.8873031950009029,,,,,,,,,,,,,,,,,A,2,3,-1,5
2018-03-23,Norway,Australia,False,Friendly,0.3,1742.0,1740.0,2.0,0.6427130688326204,0.35728693116737964,0.0,0.0,0.0,0.0,0.0,0.5138786424543811,0.48612135754561897,0.24306067877280949,4.0,1.0,1,31,3,1550.94,28,82.05,84.71,81.34,77.67,1.0906398867001414,3.521065179743194,320,5.771441123130016,0.03225806451612903,1.3862943611198906,27,6,1578.66,24,73.3,73.31,72.57,72.76,1.0075590984057174,0.3843175770115159,120,4.795790545596741,0.037037037037037035,1.9459101490553132,8.75,11.399999999999991,8.77000000000001,4.909999999999997,200,-0.004778972520908004,-0.5596157879354227,,,,,,,,,,,,,,,,,H,4,1,3,5
2018-03-24,Canada,New Zealand,True,Friendly,0.3,1620.0,1440.0,180.0,0.7381090325404187,0.2618909674595813,0.0,0.0,0.0,0.0,0.0,0.5138897296363965,0.48611027036360355,0.24305513518180177,1.0,0.0,1,30,2,1556.48,27,78.82,80.96,76.66,78.52,1.031074885379521,2.1565095254446076,200,5.303304908059076,0.03333333333333333,1.0986122886681098,85,2,1281.0,48,71.79,75.19,70.01,71.34,1.0539669189795347,2.690223039080585,9,2.302585092994046,0.011764705882352941,1.0986122886681098,7.029999999999987,5.769999999999996,6.6499999999999915,7.179999999999993,191,0.021568627450980392,0.0,,,,,,,,,,,,,,,,,H,1,0,1,1
