rank,team,p_winner,p_final,p_sf,p_qf,p_r16,p_r32,p_group,wins,group,world_ranking,elo_rating
1,Spain,4.84,8.7,15.42,27.32,47.96,85.03,100.0,484,H,2,1876.4
2,France,4.52,7.92,14.64,26.89,50.31,91.38,100.0,452,I,1,1877.32
3,Argentina,4.51,8.01,14.13,25.82,46.53,85.92,100.0,451,J,3,1874.81
4,Germany,3.78,7.16,12.47,23.9,42.94,78.68,100.0,378,E,10,1731.3
5,Brazil,3.68,6.76,13.09,24.1,45.48,83.5,100.0,368,C,6,1761.16
6,Portugal,3.67,6.75,13.08,25.76,48.76,89.56,100.0,367,K,5,1763.83
7,Netherlands,3.66,6.85,12.62,23.53,42.53,77.95,100.0,366,F,7,1757.87
8,Uruguay,3.63,6.98,12.38,24.42,47.98,91.03,100.0,363,H,17,1673.07
9,Belgium,2.93,5.88,11.14,22.33,44.68,89.53,100.0,293,G,9,1734.71
10,Mexico,2.74,5.47,11.38,22.46,45.34,88.92,100.0,274,A,15,1684.13
11,Colombia,2.72,5.54,11.06,21.7,41.54,76.86,100.0,272,K,13,1693.09
12,Morocco,2.72,5.74,11.85,22.14,41.9,77.48,100.0,272,C,8,1756.21
13,England,2.64,5.37,10.79,22.04,42.63,83.6,100.0,264,L,4,1825.97
14,Canada,2.48,5.33,11.52,23.57,47.28,95.94,100.0,248,B,30,1556.48
15,Ecuador,2.36,4.87,9.93,19.3,39.48,80.96,100.0,236,E,23,1596.48
16,Croatia,2.32,4.65,8.99,18.46,36.06,71.73,100.0,232,L,11,1717.07
17,Norway,2.31,4.44,9.06,18.52,37.92,76.62,100.0,231,I,31,1550.94
18,Scotland,2.17,4.48,9.2,18.85,38.68,75.73,100.0,217,C,43,1499.92
19,Switzerland,2.02,3.76,7.51,14.22,26.98,49.93,100.0,202,B,19,1650.75
20,Turkey,2.0,4.03,8.37,17.26,35.18,73.21,100.0,200,D,22,1599.04
21,Senegal,1.94,3.65,7.48,14.15,28.3,55.81,100.0,194,I,14,1686.41
22,United States,1.91,3.99,9.35,19.17,39.61,84.93,100.0,191,D,16,1675.7
23,Ivory Coast,1.89,4.17,8.88,17.95,36.37,75.5,100.0,189,E,34,1532.98
24,Iran,1.88,3.9,7.16,14.2,28.06,55.42,100.0,188,G,21,1616.04
25,Sweden,1.78,3.7,7.5,14.8,30.6,61.32,100.0,178,F,38,1514.77
26,Egypt,1.71,3.47,7.64,16.55,35.39,77.09,100.0,171,G,29,1565.56
27,Tunisia,1.69,3.43,7.46,16.47,36.55,79.03,100.0,169,F,44,1483.05
28,Algeria,1.68,3.35,6.54,12.95,27.2,55.36,100.0,168,J,28,1564.26
29,South Korea,1.68,3.56,7.62,15.53,30.34,60.13,100.0,168,A,25,1589.65
30,South Africa,1.64,3.28,6.97,14.61,30.64,65.51,100.0,164,A,60,1429.0
31,Austria,1.62,3.33,7.06,13.79,28.73,58.64,100.0,162,J,24,1593.45
32,Czech Republic,1.58,3.53,7.53,15.0,30.27,60.0,100.0,158,A,41,1503.04
33,Japan,1.58,3.38,6.71,13.4,27.29,54.43,100.0,158,F,18,1661.58
34,Bosnia and Herzegovina,1.47,3.08,6.54,13.75,28.92,61.2,100.0,147,B,65,1385.0
35,Jordan,1.44,2.96,6.03,12.24,27.56,60.98,100.0,144,J,63,1391.0
36,Paraguay,1.35,3.02,6.4,13.1,27.44,59.38,100.0,135,D,40,1503.5
37,Panama,1.29,2.83,5.76,13.36,29.68,67.28,100.0,129,L,33,1540.64
38,Qatar,1.15,2.69,6.03,12.76,26.27,54.81,100.0,115,B,55,1454.0
39,Saudi Arabia,1.08,2.4,5.02,10.98,23.51,49.89,100.0,108,H,61,1421.0
40,Australia,1.05,2.43,5.0,11.16,22.45,47.54,100.0,105,D,27,1578.66
41,DR Congo,1.05,2.24,5.11,10.83,22.82,46.87,100.0,105,K,46,1478.35
42,Uzbekistan,1.02,2.16,4.52,9.61,19.92,41.88,100.0,102,K,50,1465.34
43,Ghana,0.98,2.21,4.48,9.88,21.67,46.6,100.0,98,L,74,1346.0
44,Iraq,0.89,1.9,4.02,8.39,18.03,38.71,100.0,89,I,57,1447.0
45,Curaçao,0.84,1.77,3.93,8.43,18.91,41.18,100.0,84,E,82,1294.0
46,New Zealand,0.81,1.84,3.96,9.09,19.99,45.11,100.0,81,G,85,1281.0
47,Haiti,0.67,1.57,3.29,7.43,16.53,35.95,100.0,67,C,83,1291.0
48,Cape Verde,0.63,1.47,3.38,7.83,16.79,35.89,100.0,63,H,69,1366.0
